location_address_postal_code,safety_score_letter_grade,safety_pct
7030,C,75
7305,C+,77
7302,B-,82
11233,C,75
11238,C,75
10006,C-,72
11109,A+,97
7304,C+,77
11215,C+,77
10009,C,75
10013,D,65
11217,D-,62
10018,F,50
11249,C,75
11385,C+,77
10005,D-,62
11221,C,75
11101,C,75
10003,D,65
10011,D,65
10017,D,65
10038,C-,72
11201,D-,62
11216,C-,72
10002,C,75
11225,C,75
11231,C-,72
10016,C,75
10022,D,65
11212,C+,77
10012,D-,62
11211,C,75
11205,C+,77
7310,C,75
10001,D-,62
11226,B-,82
